city,country_code,latitude,longitude,data_from,data_to,total_days,avg_temp_celsius,coldest_temp_celsius,hottest_temp_celsius,total_precipitation_mm,avg_daily_precipitation_mm,total_rainy_days,avg_humidity_pct,avg_wind_max_kmh,avg_daylight_hours,continent,climate_zone,pct_rainy_days
Berlin,DE,52.52,13.41,2025-09-25,2026-09-24,365,10.5,-12.9,39.8,521.8,1.4,201,73.2,15.6,12.3,Europe,Temperate,55.1
New York,US,40.71,-74.01,2025-09-25,2026-09-24,365,12.4,-18.3,40.7,1294.5,3.5,198,67.0,15.9,12.2,North America,Temperate,54.2
Cape Town,ZA,-33.93,18.42,2025-09-25,2026-09-24,365,17.8,5.1,41.1,500.2,1.4,121,74.1,20.1,12.1,Africa,Mediterranean,33.2
London,GB,51.51,-0.13,2025-09-25,2026-09-24,365,13.4,-5.2,36.2,648.8,1.8,213,72.6,16.5,12.3,Europe,Temperate,58.4
Tokyo,JP,35.68,139.69,2025-09-25,2026-09-24,365,16.5,-3.5,39.2,2091.5,5.7,202,68.6,13.5,12.2,Asia,Subtropical,55.3
Sydney,AU,-33.87,151.21,2025-09-25,2026-09-24,365,18.5,5.9,42.0,847.3,2.3,207,71.4,18.4,12.1,Oceania,Subtropical,56.7
São Paulo,BR,-23.55,-46.63,2025-09-25,2026-09-24,365,20.0,8.4,35.1,1826.4,5.0,253,75.8,13.2,12.1,South America,Tropical,69.3
Kuala Lumpur,MY,3.14,101.69,2025-09-25,2026-09-24,365,28.0,21.9,37.6,2322.8,6.4,347,76.6,10.2,12.1,Asia,Tropical,95.1
Auckland,NZ,-36.85,174.76,2025-09-25,2026-09-24,365,16.0,2.0,29.1,1400.0,3.8,256,77.5,20.4,12.1,Oceania,Temperate Oceanic,70.1
