period_month,currency_pair,monthly_avg_rate,mom_pct_change,yoy_pct_change,ma_3m,ma_6m,ma_12m
2000-01-01,EUR/JPY,106.53238095238095,,,106.53238095238095,106.53238095238095,106.53238095238095
2000-02-01,EUR/JPY,107.64095238095236,1.0405957500066865,,107.08666666666664,107.08666666666664,107.08666666666664
2000-03-01,EUR/JPY,102.5908695652174,-4.691599901366715,,105.58806763285024,105.58806763285024,105.58806763285024
2000-04-01,EUR/JPY,99.92444444444445,-2.5990861877605003,,103.38542213020473,104.1721618357488,104.1721618357488
2000-05-01,EUR/JPY,98.09045454545453,-1.835376627997733,,100.20192285170545,102.95582037768995,102.95582037768995
2000-06-01,EUR/JPY,100.71363636363638,2.674247795402234,,99.57617845117846,102.58212304201436,102.58212304201436
2000-07-01,EUR/JPY,101.3857142857143,0.6673157144791348,,100.0632683982684,101.72434526423656,102.41120750540007
2000-08-01,EUR/JPY,97.75739130434785,-3.578731981057512,,99.9522473178995,100.07708508480249,101.82948048026854
2000-09-01,EUR/JPY,93.10619047619048,-4.757901951042044,,97.41643202208421,98.49630523663133,100.86022603537099
2000-10-01,EUR/JPY,92.74499999999999,-0.3879339003595598,,94.53619392684611,97.29973116255725,100.04870343183389
2000-11-01,EUR/JPY,93.25909090909092,0.5543057944804838,,93.03676046176047,96.49450388983,99.43146592976633
2000-12-01,EUR/JPY,100.61473684210527,7.887323221051609,,95.53960925039873,96.47802063624147,99.53007183912791
2001-01-01,EUR/JPY,109.57409090909091,8.904614123322268,2.8551975742188507,101.1493062200957,97.8427500734709,99.78354766885373
2001-02-01,EUR/JPY,107.08099999999999,-2.275255845982184,-0.5202038523132335,105.75660925039874,99.3966848560796,99.73688497044104
2001-03-01,EUR/JPY,110.3331818181818,3.0371231293897245,7.546784899841969,108.99609090909091,102.26785007974483,100.38207765818807
2001-04-01,EUR/JPY,110.35526315789474,0.020013326316763287,10.438705735561605,109.25648165869218,105.20289393939395,101.25131255097561
2001-05-01,EUR/JPY,106.49590909090908,-3.497208883878742,8.569085120876373,109.06145135566187,107.4090303030303,101.95176709643015
2001-06-01,EUR/JPY,104.29761904761905,-2.064201397082289,3.5585873109003336,107.04959709880762,108.02284400394926,102.25043232009536
2001-07-01,EUR/JPY,107.21045454545452,2.792811115377009,5.745129183906096,106.00132756132756,107.62890461000988,102.73582734174039
2001-08-01,EUR/JPY,109.33869565217393,1.9851059448843955,11.846985883420343,106.94892308174917,108.0051872187055,103.70093603739258
