period_month,country_code,country_name,headline,core,energy,food,services,non_energy_goods,gap_vs_target,gap_vs_euro_area
2022-10-01,DE,Germany,11.6,5.1,43.5,15.5,3.9,7.2,9.6,1.0
2023-04-01,DE,Germany,7.6,5.6,9.4,15.5,4.8,6.9,5.6,0.5999999999999996
2023-06-01,DE,Germany,6.8,6.1,4.0,12.6,6.1,6.2,4.8,1.2999999999999998
2023-07-01,DE,Germany,6.5,6.2,3.9,10.7,6.7,5.5,4.5,1.2000000000000002
2023-09-01,DE,Germany,4.3,4.8,-0.8,8.1,4.7,4.9,2.3,0.0
2024-02-01,DE,Germany,2.7,3.5,-2.6,2.9,3.7,2.8,0.7000000000000002,0.10000000000000009
2024-03-01,DE,Germany,2.3,3.2,-2.9,1.6,4.0,2.2,0.2999999999999998,-0.10000000000000009
2024-05-01,DE,Germany,2.8,3.5,-1.2,2.1,4.7,1.3,0.7999999999999998,0.19999999999999973
2024-07-01,DE,Germany,2.6,3.3,-1.9,2.4,4.4,1.1,0.6000000000000001,0.0
2024-09-01,DE,Germany,1.8,3.0,-7.5,2.6,4.4,0.7,-0.19999999999999996,0.10000000000000009
2025-03-01,DE,Germany,2.3,2.8,-2.6,3.3,4.1,0.8,0.2999999999999998,0.09999999999999964
2000-02-01,ES,Spain,3.0,2.3,14.8,1.8,3.1,1.6,1.0,1.1
2000-04-01,ES,Spain,3.0,2.5,13.9,1.4,3.2,1.8,1.0,1.3
2001-04-01,ES,Spain,3.6,3.2,3.5,4.7,4.3,2.0,1.6,0.8999999999999999
2001-09-01,ES,Spain,2.3,1.8,-2.8,5.3,3.4,0.1,0.2999999999999998,0.09999999999999964
2002-02-01,ES,Spain,3.2,3.5,-3.1,4.4,4.3,2.7,1.2000000000000002,0.7000000000000002
2002-03-01,ES,Spain,3.2,3.4,-1.2,4.2,4.8,1.9,1.2000000000000002,0.7000000000000002
2002-12-01,ES,Spain,4.0,3.7,5.8,4.6,4.5,2.7,2.0,1.7000000000000002
2003-05-01,ES,Spain,2.7,3.1,-2.0,3.4,3.4,2.8,0.7000000000000002,0.9000000000000001
2003-07-01,ES,Spain,2.9,3.0,0.0,3.5,3.5,2.3,0.8999999999999999,1.0
2003-10-01,ES,Spain,2.7,2.7,-1.8,4.1,3.6,1.6,0.7000000000000002,0.7000000000000002
2003-12-01,ES,Spain,2.7,2.6,-0.1,3.9,3.6,1.4,0.7000000000000002,0.7000000000000002
